time,temperature,arus,battery
2018-10-01 00:00,60.74,44.95,53
2018-10-01 00:05,61.02,43.54,57
2018-10-01 00:10,64.86,43.26,53
2018-10-01 00:15,62.10,40.43,58
2018-10-01 00:20,62.82,40.41,50
2018-10-01 00:25,63.60,40.12,51
2018-10-01 00:30,62.60,40.32,66
2018-10-01 00:35,62.04,40.02,79
2018-10-01 00:40,63.63,43.71,65
2018-10-01 00:45,62.29,42.56,72
2018-10-01 00:50,62.69,40.61,55
2018-10-01 00:55,61.23,40.29,72
2018-10-01 01:00,61.50,44.50,79
2018-10-01 01:05,64.35,43.20,66
2018-10-01 01:10,63.43,41.09,75
2018-10-01 01:15,60.05,41.92,71
2018-10-01 01:20,60.55,44.01,80
2018-10-01 01:25,60.25,42.71,66
2018-10-01 01:30,62.32,42.56,57
2018-10-01 01:35,63.86,41.06,79
2018-10-01 01:40,61.33,44.50,77
2018-10-01 01:45,63.60,43.05,80
2018-10-01 01:50,63.41,44.90,68
2018-10-01 01:55,60.57,44.84,68
2018-10-01 02:00,62.06,41.65,61
2018-10-01 02:05,63.61,42.40,53
2018-10-01 02:10,63.74,41.07,72
2018-10-01 02:15,60.36,42.51,50
2018-10-01 02:20,61.07,44.55,75
2018-10-01 02:25,61.97,43.84,80
2018-10-01 02:30,63.63,43.53,74
2018-10-01 02:35,64.61,41.41,51
2018-10-01 02:40,63.62,42.97,62
2018-10-01 02:45,61.24,44.21,76
2018-10-01 02:50,64.53,44.33,74
2018-10-01 02:55,61.27,44.32,58
2018-10-01 03:00,61.32,43.14,77
2018-10-01 03:05,60.62,44.37,66
2018-10-01 03:10,62.80,40.75,56
2018-10-01 03:15,60.30,44.30,54
2018-10-01 03:20,61.12,42.71,73
2018-10-01 03:25,60.63,44.49,80
2018-10-01 03:30,62.00,43.43,68
2018-10-01 03:35,60.28,44.77,64
2018-10-01 03:40,63.20,44.48,62
2018-10-01 03:45,60.59,42.43,79
2018-10-01 03:50,61.92,44.71,64
2018-10-01 03:55,64.48,40.71,65
2018-10-01 04:00,64.96,40.78,67
2018-10-01 04:05,63.38,41.64,61
2018-10-01 04:10,62.80,42.90,78
2018-10-01 04:15,63.32,42.90,61
2018-10-01 04:20,64.48,43.43,70
2018-10-01 04:25,62.68,43.88,71
2018-10-01 04:30,64.00,40.81,50
2018-10-01 04:35,64.45,43.05,66
2018-10-01 04:40,64.92,41.19,68
2018-10-01 04:45,62.25,43.03,68
2018-10-01 04:50,63.74,43.98,76
2018-10-01 04:55,62.97,44.53,69
2018-10-01 05:00,64.57,44.18,69
2018-10-01 05:05,62.97,41.70,68
2018-10-01 05:10,64.77,44.10,63
2018-10-01 05:15,61.37,41.09,54
